"Y_(s,t)",State,Week,"COVID_(s,t)",State_i x t,Agriculture/Forestry/Fishing and Hunting %,Mining %,Utilities %,Construction %,Manufacturing %,Wholesale Trade %,Retail Trade %,Transporation and Warehousing %,Information %,Finance and Insurance %,"Real Estate, Rental and Leasing %",Professional/Scientific/Technical Services %,Management of Companies and Enterprises %,Administration and Support/Waste Management and Remedial Services %,Educational Services %,Healthcare and Social Assistance %,"Arts, Entertainment and Recreation %",Accomodation and Food Services %,Other Services (except Public Administration) %,Public Administration %,Information Not Available %,Agriculture/Forestry/Fishing and Hunting,Mining,Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transporation and Warehousing,Information,Finance and Insurance,"Real Estate, Rental and Leasing",Professional/Scientific/Technical Services,Management of Companies and Enterprises,Administration and Support/Waste Management and Remedial Services,Educational Services,Healthcare and Social Assistance,"Arts, Entertainment and Recreation",Accomodation and Food Services,Other Services (except Public Administration),Public Administration,Information Not Available
185575,Illinois,10,2738,10,0.7,0.5,0.2,24.5,9.0,3.6,5.6,5.1,1.4,2.5,1.1,5.2,0.8,17.9,1.2,4.7,2.1,4.5,1.9,1.4,5.2,876,646,281,31333,11473,4667,7125,6517,1766,3229,1443,6710,1049,22883,1575,6072,2748,5697,2480,1792,6681
202157,Illinois,11,6866,11,0.1,0.2,0.1,7.3,10.2,3.1,11.3,3.5,1.0,0.9,1.2,3.8,0.7,7.6,1.6,9.5,3.4,14.6,5.3,0.8,13.5,946,1101,493,50106,69876,21346,77179,23838,6975,6488,8237,26287,5045,51654,11275,65176,23140,99771,35987,5332,92328
140787,Illinois,12,8823,12,0.1,0.2,0.1,7.3,10.2,3.1,11.3,3.5,1.0,0.9,1.2,3.8,0.7,7.6,1.6,9.5,3.4,14.6,5.3,0.8,13.5,946,1101,493,50106,69876,21346,77179,23838,6975,6488,8237,26287,5045,51654,11275,65176,23140,99771,35987,5332,92328
118996,Illinois,13,9980,13,0.1,0.2,0.1,7.3,10.2,3.1,11.3,3.5,1.0,0.9,1.2,3.8,0.7,7.6,1.6,9.5,3.4,14.6,5.3,0.8,13.5,946,1101,493,50106,69876,21346,77179,23838,6975,6488,8237,26287,5045,51654,11275,65176,23140,99771,35987,5332,92328
101322,Illinois,14,12617,14,0.1,0.2,0.1,7.3,10.2,3.1,11.3,3.5,1.0,0.9,1.2,3.8,0.7,7.6,1.6,9.5,3.4,14.6,5.3,0.8,13.5,946,1101,493,50106,69876,21346,77179,23838,6975,6488,8237,26287,5045,51654,11275,65176,23140,99771,35987,5332,92328
74476,Illinois,15,16728,15,0.1,0.2,0.1,7.3,10.2,3.1,11.3,3.5,1.0,0.9,1.2,3.8,0.7,7.6,1.6,9.5,3.4,14.6,5.3,0.8,13.5,946,1101,493,50106,69876,21346,77179,23838,6975,6488,8237,26287,5045,51654,11275,65176,23140,99771,35987,5332,92328
72671,Illinois,16,17580,16,0.1,0.1,0.1,5.1,9.6,3.2,11.8,4.4,1.3,1.0,1.3,4.2,0.8,8.2,1.9,10.1,3.8,15.2,5.0,0.9,11.8,814,1046,505,39365,73408,24404,90019,33658,9598,7554,9713,32427,5884,62628,14759,77394,29004,116426,38178,7137,90273
72780,Illinois,17,16372,17,0.1,0.1,0.1,5.1,9.6,3.2,11.8,4.4,1.3,1.0,1.3,4.2,0.8,8.2,1.9,10.1,3.8,15.2,5.0,0.9,11.8,814,1046,505,39365,73408,24404,90019,33658,9598,7554,9713,32427,5884,62628,14759,77394,29004,116426,38178,7137,90273
58263,Illinois,18,15339,18,0.1,0.1,0.1,5.1,9.6,3.2,11.8,4.4,1.3,1.0,1.3,4.2,0.8,8.2,1.9,10.1,3.8,15.2,5.0,0.9,11.8,814,1046,505,39365,73408,24404,90019,33658,9598,7554,9713,32427,5884,62628,14759,77394,29004,116426,38178,7137,90273
46385,Illinois,19,11121,19,0.1,0.1,0.1,5.1,9.6,3.2,11.8,4.4,1.3,1.0,1.3,4.2,0.8,8.2,1.9,10.1,3.8,15.2,5.0,0.9,11.8,814,1046,505,39365,73408,24404,90019,33658,9598,7554,9713,32427,5884,62628,14759,77394,29004,116426,38178,7137,90273
44606,Illinois,20,7973,20,0.1,0.1,0.1,4.3,7.4,3.2,11.3,5.4,1.4,1.1,1.3,4.8,0.9,9.7,2.9,9.2,4.2,16.7,4.3,1.1,10.4,747,988,407,30200,52063,22622,80138,38235,10127,7955,9400,33898,6411,68238,20286,64863,29604,117730,30697,7700,73569
44694,Illinois,21,4981,21,0.1,0.1,0.1,4.3,7.4,3.2,11.3,5.4,1.4,1.1,1.3,4.8,0.9,9.7,2.9,9.2,4.2,16.7,4.3,1.1,10.4,747,988,407,30200,52063,22622,80138,38235,10127,7955,9400,33898,6411,68238,20286,64863,29604,117730,30697,7700,73569
46276,Illinois,22,4233,22,0.1,0.1,0.1,4.3,7.4,3.2,11.3,5.4,1.4,1.1,1.3,4.8,0.9,9.7,2.9,9.2,4.2,16.7,4.3,1.1,10.4,747,988,407,30200,52063,22622,80138,38235,10127,7955,9400,33898,6411,68238,20286,64863,29604,117730,30697,7700,73569
45752,Illinois,23,4973,23,0.1,0.1,0.1,4.3,7.4,3.2,11.3,5.4,1.4,1.1,1.3,4.8,0.9,9.7,2.9,9.2,4.2,16.7,4.3,1.1,10.4,747,988,407,30200,52063,22622,80138,38235,10127,7955,9400,33898,6411,68238,20286,64863,29604,117730,30697,7700,73569
2956,Indiana,1,0,1,0.4,0.5,0.1,30.5,15.8,3.1,5.7,6.1,1.1,1.8,1.2,3.4,0.5,10.1,1.5,4.8,1.0,2.1,2.0,0.9,7.1,88,101,31,6547,3395,659,1215,1319,228,385,251,727,110,2159,321,1034,208,449,428,195,1532
3016,Indiana,2,0,2,0.4,0.5,0.1,30.5,15.8,3.1,5.7,6.1,1.1,1.8,1.2,3.4,0.5,10.1,1.5,4.8,1.0,2.1,2.0,0.9,7.1,88,101,31,6547,3395,659,1215,1319,228,385,251,727,110,2159,321,1034,208,449,428,195,1532
2725,Indiana,3,0,3,0.4,0.7,0.1,30.6,16.7,3.0,5.5,5.8,0.9,1.7,1.2,3.1,0.5,10.3,1.3,4.8,1.0,2.3,1.9,1.0,6.8,85,168,34,7080,3871,702,1276,1344,215,393,269,723,125,2394,296,1103,226,528,428,222,1567
2556,Indiana,4,0,4,0.4,0.7,0.1,30.6,16.7,3.0,5.5,5.8,0.9,1.7,1.2,3.1,0.5,10.3,1.3,4.8,1.0,2.3,1.9,1.0,6.8,85,168,34,7080,3871,702,1276,1344,215,393,269,723,125,2394,296,1103,226,528,428,222,1567
2979,Indiana,5,0,5,0.4,0.7,0.1,30.6,16.7,3.0,5.5,5.8,0.9,1.7,1.2,3.1,0.5,10.3,1.3,4.8,1.0,2.3,1.9,1.0,6.8,85,168,34,7080,3871,702,1276,1344,215,393,269,723,125,2394,296,1103,226,528,428,222,1567
2276,Indiana,6,0,6,0.4,0.7,0.1,30.6,16.7,3.0,5.5,5.8,0.9,1.7,1.2,3.1,0.5,10.3,1.3,4.8,1.0,2.3,1.9,1.0,6.8,85,168,34,7080,3871,702,1276,1344,215,393,269,723,125,2394,296,1103,226,528,428,222,1567
2223,Indiana,7,1,7,0.3,0.6,0.2,28.8,16.8,3.5,6.0,6.2,1.2,1.9,1.4,3.6,0.6,10.1,1.5,5.5,1.0,2.9,1.9,0.9,4.8,66,125,38,6064,3534,733,1270,1302,252,403,292,760,120,2119,325,1149,214,610,397,194,1020
2596,Indiana,8,15,8,0.3,0.6,0.2,28.8,16.8,3.5,6.0,6.2,1.2,1.9,1.4,3.6,0.6,10.1,1.5,5.5,1.0,2.9,1.9,0.9,4.8,66,125,38,6064,3534,733,1270,1302,252,403,292,760,120,2119,325,1149,214,610,397,194,1020
59755,Indiana,9,112,9,0.3,0.6,0.2,28.8,16.8,3.5,6.0,6.2,1.2,1.9,1.4,3.6,0.6,10.1,1.5,5.5,1.0,2.9,1.9,0.9,4.8,66,125,38,6064,3534,733,1270,1302,252,403,292,760,120,2119,325,1149,214,610,397,194,1020
139174,Indiana,10,1105,10,0.3,0.6,0.2,28.8,16.8,3.5,6.0,6.2,1.2,1.9,1.4,3.6,0.6,10.1,1.5,5.5,1.0,2.9,1.9,0.9,4.8,66,125,38,6064,3534,733,1270,1302,252,403,292,760,120,2119,325,1149,214,610,397,194,1020
127010,Indiana,11,2720,11,0.1,0.2,0.0,5.2,32.8,2.7,8.4,2.4,0.5,0.5,0.9,2.0,0.8,5.0,0.7,10.1,2.5,14.5,4.8,0.3,5.6,326,399,56,13281,83371,6883,21356,6189,1236,1178,2227,5201,1987,12796,1738,25660,6328,36876,12132,702,14244
113755,Indiana,12,3482,12,0.1,0.2,0.0,5.2,32.8,2.7,8.4,2.4,0.5,0.5,0.9,2.0,0.8,5.0,0.7,10.1,2.5,14.5,4.8,0.3,5.6,326,399,56,13281,83371,6883,21356,6189,1236,1178,2227,5201,1987,12796,1738,25660,6328,36876,12132,702,14244
72756,Indiana,13,3206,13,0.1,0.2,0.0,5.2,32.8,2.7,8.4,2.4,0.5,0.5,0.9,2.0,0.8,5.0,0.7,10.1,2.5,14.5,4.8,0.3,5.6,326,399,56,13281,83371,6883,21356,6189,1236,1178,2227,5201,1987,12796,1738,25660,6328,36876,12132,702,14244
55774,Indiana,14,3758,14,0.1,0.2,0.0,5.2,32.8,2.7,8.4,2.4,0.5,0.5,0.9,2.0,0.8,5.0,0.7,10.1,2.5,14.5,4.8,0.3,5.6,326,399,56,13281,83371,6883,21356,6189,1236,1178,2227,5201,1987,12796,1738,25660,6328,36876,12132,702,14244
42290,Indiana,15,4896,15,0.1,0.2,0.0,5.2,32.8,2.7,8.4,2.4,0.5,0.5,0.9,2.0,0.8,5.0,0.7,10.1,2.5,14.5,4.8,0.3,5.6,326,399,56,13281,83371,6883,21356,6189,1236,1178,2227,5201,1987,12796,1738,25660,6328,36876,12132,702,14244
29668,Indiana,16,4437,16,0.2,0.2,0.0,4.7,29.8,3.1,9.1,3.0,0.6,0.6,1.1,2.3,0.9,6.4,0.9,7.1,3.6,15.4,4.0,0.3,6.6,412,427,74,11938,75768,7842,23108,7517,1629,1500,2680,5725,2267,16373,2314,18130,9137,39276,10289,877,16701
29436,Indiana,17,3548,17,0.2,0.2,0.0,4.7,29.8,3.1,9.1,3.0,0.6,0.6,1.1,2.3,0.9,6.4,0.9,7.1,3.6,15.4,4.0,0.3,6.6,412,427,74,11938,75768,7842,23108,7517,1629,1500,2680,5725,2267,16373,2314,18130,9137,39276,10289,877,16701
25523,Indiana,18,3621,18,0.2,0.2,0.0,4.7,29.8,3.1,9.1,3.0,0.6,0.6,1.1,2.3,0.9,6.4,0.9,7.1,3.6,15.4,4.0,0.3,6.6,412,427,74,11938,75768,7842,23108,7517,1629,1500,2680,5725,2267,16373,2314,18130,9137,39276,10289,877,16701
22914,Indiana,19,3310,19,0.2,0.2,0.0,4.7,29.8,3.1,9.1,3.0,0.6,0.6,1.1,2.3,0.9,6.4,0.9,7.1,3.6,15.4,4.0,0.3,6.6,412,427,74,11938,75768,7842,23108,7517,1629,1500,2680,5725,2267,16373,2314,18130,9137,39276,10289,877,16701
22931,Indiana,20,2786,20,0.2,0.2,0.0,5.0,20.4,3.4,9.0,3.3,0.9,0.9,1.2,2.7,1.2,8.5,1.4,7.2,4.5,17.9,3.8,0.4,7.6,464,462,85,10006,41220,6853,18204,6725,1804,1765,2410,5533,2339,17108,2908,14463,9026,36229,7702,875,15413
24017,Indiana,21,2546,21,0.2,0.2,0.0,5.0,20.4,3.4,9.0,3.3,0.9,0.9,1.2,2.7,1.2,8.5,1.4,7.2,4.5,17.9,3.8,0.4,7.6,464,462,85,10006,41220,6853,18204,6725,1804,1765,2410,5533,2339,17108,2908,14463,9026,36229,7702,875,15413
29331,Indiana,22,2518,22,0.2,0.2,0.0,5.0,20.4,3.4,9.0,3.3,0.9,0.9,1.2,2.7,1.2,8.5,1.4,7.2,4.5,17.9,3.8,0.4,7.6,464,462,85,10006,41220,6853,18204,6725,1804,1765,2410,5533,2339,17108,2908,14463,9026,36229,7702,875,15413
44827,Indiana,23,2514,23,0.2,0.2,0.0,5.0,20.4,3.4,9.0,3.3,0.9,0.9,1.2,2.7,1.2,8.5,1.4,7.2,4.5,17.9,3.8,0.4,7.6,464,462,85,10006,41220,6853,18204,6725,1804,1765,2410,5533,2339,17108,2908,14463,9026,36229,7702,875,15413
3115,Iowa,1,0,1,0.8,2.2,0.1,38.7,16.0,2.8,5.1,3.5,0.8,1.7,0.9,2.3,0.4,10.9,0.7,3.5,1.8,3.0,1.5,1.8,0.6,249,643,39,11423,4711,837,1492,1030,242,498,258,681,104,3224,196,1026,530,887,452,531,189
3066,Iowa,2,0,2,0.8,2.2,0.1,38.7,16.0,2.8,5.1,3.5,0.8,1.7,0.9,2.3,0.4,10.9,0.7,3.5,1.8,3.0,1.5,1.8,0.6,249,643,39,11423,4711,837,1492,1030,242,498,258,681,104,3224,196,1026,530,887,452,531,189
2379,Iowa,3,0,3,0.8,2.0,0.2,41.6,14.4,2.7,5.2,3.4,1.0,1.5,0.9,2.2,0.4,10.9,0.7,3.3,1.6,2.6,1.5,1.7,0.7,239,609,57,12715,4409,837,1581,1025,305,457,262,673,122,3320,201,1009,481,806,458,511,214
2239,Iowa,4,0,4,0.8,2.0,0.2,41.6,14.4,2.7,5.2,3.4,1.0,1.5,0.9,2.2,0.4,10.9,0.7,3.3,1.6,2.6,1.5,1.7,0.7,239,609,57,12715,4409,837,1581,1025,305,457,262,673,122,3320,201,1009,481,806,458,511,214
2631,Iowa,5,0,5,0.8,2.0,0.2,41.6,14.4,2.7,5.2,3.4,1.0,1.5,0.9,2.2,0.4,10.9,0.7,3.3,1.6,2.6,1.5,1.7,0.7,239,609,57,12715,4409,837,1581,1025,305,457,262,673,122,3320,201,1009,481,806,458,511,214
2240,Iowa,6,0,6,0.8,2.0,0.2,41.6,14.4,2.7,5.2,3.4,1.0,1.5,0.9,2.2,0.4,10.9,0.7,3.3,1.6,2.6,1.5,1.7,0.7,239,609,57,12715,4409,837,1581,1025,305,457,262,673,122,3320,201,1009,481,806,458,511,214
2221,Iowa,7,0,7,0.7,1.5,0.2,39.8,15.2,2.7,5.2,4.1,1.1,1.6,0.9,2.3,0.5,10.7,0.8,3.6,1.3,3.3,1.8,1.5,0.7,195,421,55,11030,4208,754,1436,1134,302,450,246,629,131,2959,213,998,374,909,487,416,188
2229,Iowa,8,17,8,0.7,1.5,0.2,39.8,15.2,2.7,5.2,4.1,1.1,1.6,0.9,2.3,0.5,10.7,0.8,3.6,1.3,3.3,1.8,1.5,0.7,195,421,55,11030,4208,754,1436,1134,302,450,246,629,131,2959,213,998,374,909,487,416,188
40952,Iowa,9,52,9,0.7,1.5,0.2,39.8,15.2,2.7,5.2,4.1,1.1,1.6,0.9,2.3,0.5,10.7,0.8,3.6,1.3,3.3,1.8,1.5,0.7,195,421,55,11030,4208,754,1436,1134,302,450,246,629,131,2959,213,998,374,909,487,416,188
55966,Iowa,10,229,10,0.7,1.5,0.2,39.8,15.2,2.7,5.2,4.1,1.1,1.6,0.9,2.3,0.5,10.7,0.8,3.6,1.3,3.3,1.8,1.5,0.7,195,421,55,11030,4208,754,1436,1134,302,450,246,629,131,2959,213,998,374,909,487,416,188
64194,Iowa,11,489,11,0.2,0.2,0.1,7.3,13.6,2.3,11.8,2.1,1.2,0.8,0.9,2.2,0.4,4.7,3.5,16.4,2.9,18.6,4.8,0.7,5.1,423,325,102,12673,23665,4096,20626,3693,2016,1413,1638,3779,704,8241,6106,28544,5056,32481,8405,1273,8893
43889,Iowa,12,723,12,0.2,0.2,0.1,7.3,13.6,2.3,11.8,2.1,1.2,0.8,0.9,2.2,0.4,4.7,3.5,16.4,2.9,18.6,4.8,0.7,5.1,423,325,102,12673,23665,4096,20626,3693,2016,1413,1638,3779,704,8241,6106,28544,5056,32481,8405,1273,8893
26901,Iowa,13,1003,13,0.2,0.2,0.1,7.3,13.6,2.3,11.8,2.1,1.2,0.8,0.9,2.2,0.4,4.7,3.5,16.4,2.9,18.6,4.8,0.7,5.1,423,325,102,12673,23665,4096,20626,3693,2016,1413,1638,3779,704,8241,6106,28544,5056,32481,8405,1273,8893
27220,Iowa,14,2579,14,0.2,0.2,0.1,7.3,13.6,2.3,11.8,2.1,1.2,0.8,0.9,2.2,0.4,4.7,3.5,16.4,2.9,18.6,4.8,0.7,5.1,423,325,102,12673,23665,4096,20626,3693,2016,1413,1638,3779,704,8241,6106,28544,5056,32481,8405,1273,8893
23241,Iowa,15,3551,15,0.2,0.2,0.1,7.3,13.6,2.3,11.8,2.1,1.2,0.8,0.9,2.2,0.4,4.7,3.5,16.4,2.9,18.6,4.8,0.7,5.1,423,325,102,12673,23665,4096,20626,3693,2016,1413,1638,3779,704,8241,6106,28544,5056,32481,8405,1273,8893
15820,Iowa,16,3028,16,0.3,0.1,0.1,4.7,17.1,2.4,10.8,2.2,1.2,0.9,0.9,2.1,0.5,5.0,3.9,14.1,3.5,17.9,4.2,0.8,7.2,480,214,115,8490,30804,4257,19518,3979,2210,1560,1693,3861,907,8942,6966,25427,6287,32230,7618,1467,12929
12056,Iowa,17,2657,17,0.3,0.1,0.1,4.7,17.1,2.4,10.8,2.2,1.2,0.9,0.9,2.1,0.5,5.0,3.9,14.1,3.5,17.9,4.2,0.8,7.2,480,214,115,8490,30804,4257,19518,3979,2210,1560,1693,3861,907,8942,6966,25427,6287,32230,7618,1467,12929
13723,Iowa,18,2570,18,0.3,0.1,0.1,4.7,17.1,2.4,10.8,2.2,1.2,0.9,0.9,2.1,0.5,5.0,3.9,14.1,3.5,17.9,4.2,0.8,7.2,480,214,115,8490,30804,4257,19518,3979,2210,1560,1693,3861,907,8942,6966,25427,6287,32230,7618,1467,12929
6449,Iowa,19,2346,19,0.3,0.1,0.1,4.7,17.1,2.4,10.8,2.2,1.2,0.9,0.9,2.1,0.5,5.0,3.9,14.1,3.5,17.9,4.2,0.8,7.2,480,214,115,8490,30804,4257,19518,3979,2210,1560,1693,3861,907,8942,6966,25427,6287,32230,7618,1467,12929
9488,Iowa,20,2234,20,0.3,0.1,0.1,4.6,16.4,2.6,10.3,2.7,1.5,1.0,1.1,2.4,0.6,5.7,4.6,11.7,3.3,18.6,3.6,0.9,7.5,463,175,111,6571,23633,3788,14876,3937,2133,1449,1538,3533,827,8220,6640,16931,4778,26807,5132,1330,10885
9069,Iowa,21,2239,21,0.3,0.1,0.1,4.6,16.4,2.6,10.3,2.7,1.5,1.0,1.1,2.4,0.6,5.7,4.6,11.7,3.3,18.6,3.6,0.9,7.5,463,175,111,6571,23633,3788,14876,3937,2133,1449,1538,3533,827,8220,6640,16931,4778,26807,5132,1330,10885
8208,Iowa,22,1779,22,0.3,0.1,0.1,4.6,16.4,2.6,10.3,2.7,1.5,1.0,1.1,2.4,0.6,5.7,4.6,11.7,3.3,18.6,3.6,0.9,7.5,463,175,111,6571,23633,3788,14876,3937,2133,1449,1538,3533,827,8220,6640,16931,4778,26807,5132,1330,10885
7732,Iowa,23,2577,23,0.3,0.1,0.1,4.6,16.4,2.6,10.3,2.7,1.5,1.0,1.1,2.4,0.6,5.7,4.6,11.7,3.3,18.6,3.6,0.9,7.5,463,175,111,6571,23633,3788,14876,3937,2133,1449,1538,3533,827,8220,6640,16931,4778,26807,5132,1330,10885
2557,Kansas,1,0,1,0.4,1.4,0.2,25.4,13.7,2.7,5.8,4.2,0.9,2.4,1.7,4.6,0.6,14.5,1.1,6.5,0.7,4.0,1.4,1.8,5.6,47,162,19,2876,1553,304,659,469,106,273,187,523,68,1634,127,731,78,452,155,203,628
2000,Kansas,2,0,2,0.4,1.4,0.2,25.4,13.7,2.7,5.8,4.2,0.9,2.4,1.7,4.6,0.6,14.5,1.1,6.5,0.7,4.0,1.4,1.8,5.6,47,162,19,2876,1553,304,659,469,106,273,187,523,68,1634,127,731,78,452,155,203,628
2107,Kansas,3,0,3,0.4,1.3,0.1,25.5,16.9,2.8,5.8,4.0,1.0,2.1,1.6,4.4,0.4,13.8,1.2,6.2,0.7,3.1,1.5,1.8,5.0,47,157,10,3125,2073,341,713,487,121,256,196,542,53,1688,145,761,83,377,184,221,616
2076,Kansas,4,0,4,0.4,1.3,0.1,25.5,16.9,2.8,5.8,4.0,1.0,2.1,1.6,4.4,0.4,13.8,1.2,6.2,0.7,3.1,1.5,1.8,5.0,47,157,10,3125,2073,341,713,487,121,256,196,542,53,1688,145,761,83,377,184,221,616
1494,Kansas,5,0,5,0.4,1.3,0.1,25.5,16.9,2.8,5.8,4.0,1.0,2.1,1.6,4.4,0.4,13.8,1.2,6.2,0.7,3.1,1.5,1.8,5.0,47,157,10,3125,2073,341,713,487,121,256,196,542,53,1688,145,761,83,377,184,221,616
1517,Kansas,6,0,6,0.4,1.3,0.1,25.5,16.9,2.8,5.8,4.0,1.0,2.1,1.6,4.4,0.4,13.8,1.2,6.2,0.7,3.1,1.5,1.8,5.0,47,157,10,3125,2073,341,713,487,121,256,196,542,53,1688,145,761,83,377,184,221,616
1365,Kansas,7,0,7,0.4,1.3,0.1,22.1,16.6,3.2,6.3,4.2,1.2,2.8,1.7,5.9,0.6,12.3,1.4,7.3,0.6,4.2,1.6,1.9,4.0,37,135,12,2280,1711,330,650,433,123,286,179,603,58,1262,141,753,61,431,168,196,410
1755,Kansas,8,8,8,0.4,1.3,0.1,22.1,16.6,3.2,6.3,4.2,1.2,2.8,1.7,5.9,0.6,12.3,1.4,7.3,0.6,4.2,1.6,1.9,4.0,37,135,12,2280,1711,330,650,433,123,286,179,603,58,1262,141,753,61,431,168,196,410
23563,Kansas,9,49,9,0.4,1.3,0.1,22.1,16.6,3.2,6.3,4.2,1.2,2.8,1.7,5.9,0.6,12.3,1.4,7.3,0.6,4.2,1.6,1.9,4.0,37,135,12,2280,1711,330,650,433,123,286,179,603,58,1262,141,753,61,431,168,196,410
54330,Kansas,10,209,10,0.4,1.3,0.1,22.1,16.6,3.2,6.3,4.2,1.2,2.8,1.7,5.9,0.6,12.3,1.4,7.3,0.6,4.2,1.6,1.9,4.0,37,135,12,2280,1711,330,650,433,123,286,179,603,58,1262,141,753,61,431,168,196,410
49306,Kansas,11,432,11,0.1,0.5,0.1,4.7,23.3,2.1,11.4,3.1,1.1,0.9,1.4,3.1,0.1,5.9,1.9,11.4,3.2,16.3,6.8,0.8,1.9,128,570,129,5642,27964,2530,13640,3673,1277,1050,1683,3705,173,7066,2299,13672,3814,19540,8164,1013,2230
29873,Kansas,12,577,12,0.1,0.5,0.1,4.7,23.3,2.1,11.4,3.1,1.1,0.9,1.4,3.1,0.1,5.9,1.9,11.4,3.2,16.3,6.8,0.8,1.9,128,570,129,5642,27964,2530,13640,3673,1277,1050,1683,3705,173,7066,2299,13672,3814,19540,8164,1013,2230
30596,Kansas,13,546,13,0.1,0.5,0.1,4.7,23.3,2.1,11.4,3.1,1.1,0.9,1.4,3.1,0.1,5.9,1.9,11.4,3.2,16.3,6.8,0.8,1.9,128,570,129,5642,27964,2530,13640,3673,1277,1050,1683,3705,173,7066,2299,13672,3814,19540,8164,1013,2230
24483,Kansas,14,1314,14,0.1,0.5,0.1,4.7,23.3,2.1,11.4,3.1,1.1,0.9,1.4,3.1,0.1,5.9,1.9,11.4,3.2,16.3,6.8,0.8,1.9,128,570,129,5642,27964,2530,13640,3673,1277,1050,1683,3705,173,7066,2299,13672,3814,19540,8164,1013,2230
15959,Kansas,15,1750,15,0.1,0.5,0.1,4.7,23.3,2.1,11.4,3.1,1.1,0.9,1.4,3.1,0.1,5.9,1.9,11.4,3.2,16.3,6.8,0.8,1.9,128,570,129,5642,27964,2530,13640,3673,1277,1050,1683,3705,173,7066,2299,13672,3814,19540,8164,1013,2230
12234,Kansas,16,1944,16,0.1,0.6,0.1,4.4,19.5,2.7,11.9,3.7,1.3,1.0,1.5,3.5,0.2,7.5,2.6,9.3,3.7,16.6,5.7,1.4,2.6,146,612,59,4599,20255,2827,12400,3859,1353,1044,1606,3672,190,7752,2679,9664,3824,17301,5881,1481,2661
11238,Kansas,17,1110,17,0.1,0.6,0.1,4.4,19.5,2.7,11.9,3.7,1.3,1.0,1.5,3.5,0.2,7.5,2.6,9.3,3.7,16.6,5.7,1.4,2.6,146,612,59,4599,20255,2827,12400,3859,1353,1044,1606,3672,190,7752,2679,9664,3824,17301,5881,1481,2661
11232,Kansas,18,1007,18,0.1,0.6,0.1,4.4,19.5,2.7,11.9,3.7,1.3,1.0,1.5,3.5,0.2,7.5,2.6,9.3,3.7,16.6,5.7,1.4,2.6,146,612,59,4599,20255,2827,12400,3859,1353,1044,1606,3672,190,7752,2679,9664,3824,17301,5881,1481,2661
10028,Kansas,19,744,19,0.1,0.6,0.1,4.4,19.5,2.7,11.9,3.7,1.3,1.0,1.5,3.5,0.2,7.5,2.6,9.3,3.7,16.6,5.7,1.4,2.6,146,612,59,4599,20255,2827,12400,3859,1353,1044,1606,3672,190,7752,2679,9664,3824,17301,5881,1481,2661
8261,Kansas,20,671,20,0.2,0.6,0.1,4.5,16.3,3.2,10.5,5.1,1.6,1.3,1.6,3.9,0.3,8.5,5.4,9.2,2.4,16.9,3.7,1.2,3.3,143,539,59,3782,13671,2668,8846,4252,1353,1060,1356,3284,245,7175,4535,7730,2059,14234,3145,993,2769
8287,Kansas,21,659,21,0.2,0.6,0.1,4.5,16.3,3.2,10.5,5.1,1.6,1.3,1.6,3.9,0.3,8.5,5.4,9.2,2.4,16.9,3.7,1.2,3.3,143,539,59,3782,13671,2668,8846,4252,1353,1060,1356,3284,245,7175,4535,7730,2059,14234,3145,993,2769
9179,Kansas,22,1077,22,0.2,0.6,0.1,4.5,16.3,3.2,10.5,5.1,1.6,1.3,1.6,3.9,0.3,8.5,5.4,9.2,2.4,16.9,3.7,1.2,3.3,143,539,59,3782,13671,2668,8846,4252,1353,1060,1356,3284,245,7175,4535,7730,2059,14234,3145,993,2769
9738,Kansas,23,1520,23,0.2,0.6,0.1,4.5,16.3,3.2,10.5,5.1,1.6,1.3,1.6,3.9,0.3,8.5,5.4,9.2,2.4,16.9,3.7,1.2,3.3,143,539,59,3782,13671,2668,8846,4252,1353,1060,1356,3284,245,7175,4535,7730,2059,14234,3145,993,2769
2569,Kentucky,1,0,1,0.6,4.5,0.2,21.8,16.5,3.1,6.0,4.4,1.0,2.4,1.4,3.8,0.8,10.3,1.0,5.8,1.8,4.0,1.7,1.9,6.2,148,1034,51,5020,3805,724,1373,1021,225,563,326,869,182,2368,229,1330,424,924,398,432,1428
2625,Kentucky,2,0,2,0.6,4.5,0.2,21.8,16.5,3.1,6.0,4.4,1.0,2.4,1.4,3.8,0.8,10.3,1.0,5.8,1.8,4.0,1.7,1.9,6.2,148,1034,51,5020,3805,724,1373,1021,225,563,326,869,182,2368,229,1330,424,924,398,432,1428
2936,Kentucky,3,0,3,0.6,3.7,0.2,23.9,17.3,3.6,6.8,4.9,1.0,2.3,1.3,3.6,0.9,9.2,0.8,5.5,1.4,4.1,1.4,1.4,5.4,142,891,54,5689,4108,858,1615,1176,238,544,318,845,209,2184,197,1309,335,979,326,322,1284
2813,Kentucky,4,0,4,0.6,3.7,0.2,23.9,17.3,3.6,6.8,4.9,1.0,2.3,1.3,3.6,0.9,9.2,0.8,5.5,1.4,4.1,1.4,1.4,5.4,142,891,54,5689,4108,858,1615,1176,238,544,318,845,209,2184,197,1309,335,979,326,322,1284
2508,Kentucky,5,0,5,0.6,3.7,0.2,23.9,17.3,3.6,6.8,4.9,1.0,2.3,1.3,3.6,0.9,9.2,0.8,5.5,1.4,4.1,1.4,1.4,5.4,142,891,54,5689,4108,858,1615,1176,238,544,318,845,209,2184,197,1309,335,979,326,322,1284
